time,Average slip velocity,Average axial shortening,Average normal stress,Average shear stress,Average friction,Average temperature,Rate of temperature,Rate of axial shortening,Power density
1,0.002445868,0.474010307,0.347061726,0.471366716,1.363441528,20.443,0.0325,-0.008126462,0.001152901
2,0.002472735,0.465883844,0.348764803,0.474454278,1.364798085,20.4755,0.021,-0.008081454,0.0011732
3,0.002523781,0.45780239,0.349965067,0.477123402,1.368103083,20.4965,-0.0005,-0.008126462,0.001204155
4,0.002537214,0.449675927,0.350808496,0.479741806,1.373038485,20.496,0,-0.008096457,0.001217208
5,0.002558707,0.44157947,0.351587046,0.482639169,1.378979246,20.496,0,-0.008086455,0.001234932
6,0.00257214,0.433493015,0.352170958,0.485650651,1.385878547,20.496,0.001,-0.00805645,0.001249161
7,0.002609753,0.425436565,0.352592673,0.488662133,1.393452124,20.497,0.0005,-0.005295953,0.001275287
8,0.002641993,0.420140612,0.352965728,0.491800415,1.401369483,20.4975,0.0005,0.000150027,0.001299333
9,0.002668859,0.420290639,0.352868409,0.49426666,1.409357914,20.498,0.0015,0.000175031,0.001319128
10,0.002698412,0.42046567,0.352852189,0.497157683,1.418134708,20.4995,0.0015,0.000275049,0.001341536
11,0.002738711,0.42074072,0.352884629,0.500048706,1.426465393,20.501,0.0005,0.000245044,0.001369489
12,0.002768264,0.420985764,0.352689991,0.50269247,1.434851346,20.5015,0,0.00022004,0.001391585
13,0.002781698,0.421205803,0.352284497,0.505120676,1.443465609,20.5015,0,0.000225041,0.001405093
14,0.002795131,0.421430844,0.351733024,0.507409402,1.452121911,20.5015,-0.0005,0.000255046,0.001418276
15,0.002811251,0.42168589,0.35124643,0.509977087,1.461310014,20.501,0.0005,0.000300054,0.001433674
16,0.002846177,0.421985944,0.350938255,0.512887129,1.470636049,20.5015,0.0015,0.000290052,0.001459768
17,0.002886476,0.422275996,0.350613859,0.515828872,1.479988452,20.503,-0.0005,0.000235042,0.001488928
18,0.002913343,0.422511038,0.350175925,0.518339497,1.488676137,20.5025,0.0005,0.000270049,0.001510101
19,0.002932149,0.422781087,0.349900188,0.5211481,1.497613476,20.503,0.002,0.000345062,0.001528084
20,0.002975135,0.423126149,0.34975421,0.524261022,1.506890233,20.505,0.001,0.000325058,0.001559747
21,0.002985882,0.423451208,0.349543353,0.527272504,1.516059176,20.506,-0.001,0.000330059,0.001574373
22,0.002993942,0.423781267,0.349332496,0.530410785,1.525459946,20.505,0.002,0.000360065,0.001588019
23,0.003026181,0.424141332,0.349235177,0.533726586,1.534952965,20.507,0.001,0.000255046,0.001615153
24,0.003085287,0.424396378,0.348910781,0.536611268,1.544197882,20.508,0.001,0.000260047,0.0016556
25,0.003117527,0.424656424,0.348699924,0.539540331,1.552993242,20.509,0.001,0.000240043,0.001682032
26,0.003141707,0.424896468,0.348489067,0.542469394,1.561591338,20.51,0.0005,0.00022004,0.00170428
27,0.00315514,0.425116507,0.348180891,0.545056098,1.57004807,20.5105,0.001,0.000255046,0.001719728
28,0.003184693,0.425371553,0.347937594,0.548371899,1.580101968,20.5115,-0.0005,0.000265048,0.001746396
29,0.003206186,0.425636601,0.347629418,0.551681359,1.590521575,20.511,0.001,0.000295053,0.001768793
30,0.003235739,0.425931654,0.347321242,0.555333177,1.601564193,20.512,0.001,0.000285051,0.001796913
31,0.003254545,0.426216705,0.347061726,0.559137155,1.612832972,20.513,0.0005,0.000270049,0.001819737
32,0.003313651,0.426486754,0.34675355,0.562554394,1.623303553,20.5135,0.0005,0.00027505,0.001864109
33,0.003206186,0.426761803,0.346429154,0.562516355,1.624590899,20.514,-0.0005,0.00028005,0.001803532
34,0.002999315,0.427041854,0.346153418,0.562890412,1.626709751,20.5135,0.0025,0.000330059,0.001688286
35,0.002816624,0.427371913,0.346153418,0.563029892,1.627095381,20.516,0.0005,0.000315057,0.001585844
36,0.002722592,0.42768697,0.346039879,0.562941132,1.627347257,20.5165,0.0005,0.000290052,0.001532659
37,0.0025802,0.427977022,0.346072319,0.563099631,1.62764059,20.517,0.0015,0.000185033,0.00145291
38,0.00257214,0.428162055,0.345829022,0.562814333,1.627931136,20.5185,0.0005,0.000150027,0.001447637
39,0.002545274,0.428312082,0.345569505,0.562548054,1.628330684,20.519,0.001,0.000150027,0.001431839
40,0.00254796,0.428462109,0.345520846,0.562579754,1.628631689,20.52,0,0.000145026,0.001433431
41,0.002542587,0.428607135,0.345472187,0.562579754,1.628847563,20.52,0.002,0.000145026,0.001430408
42,0.002545274,0.428752162,0.345472187,0.562706553,1.62921118,20.522,-0.001,0.000150027,0.001432242
43,0.0025802,0.428902189,0.345374868,0.562706553,1.629667118,20.521,-0.0005,0.000145026,0.001451895
44,0.002582887,0.429047215,0.345326209,0.562624134,1.629656144,20.5205,0.001,0.000175031,0.001453195
45,0.00259632,0.429222246,0.345358648,0.562598774,1.629433379,20.5215,0,0.000120022,0.001460686
46,0.002585573,0.429342268,0.34522889,0.562522695,1.629809318,20.5215,0,0.000155028,0.001454443
47,0.0025802,0.429497296,0.345147791,0.562522695,1.630184937,20.5215,0.0005,0.000240043,0.001451421
48,0.0025802,0.429737339,0.345147791,0.562731913,1.630765987,20.522,0,0.000285051,0.001451961
49,0.00258826,0.43002239,0.345277549,0.563150351,1.631360508,20.522,0,0.000285051,0.00145758
