time,slip velocity (m/s),accumlated slip (m),axial shortening (mm),normal stress (MPa),shear stress (MPa),temp (¢ªC),friction
1,-0.00050943,-0.001842441,1.24422392,0.181652349,0.278397282,20.15,1.532582895
2,0.000565224,-0.001277217,1.24622428,0.222201813,0.284737245,20.25,1.281435287
3,0.000833887,-0.00044333,1.24822464,0.253019407,0.286005237,20.35,1.130368776
4,0.000027897,-0.000415433,1.24772455,0.270861171,0.287273229,20.25,1.060592141
5,0.001102551,0.000687118,1.24972491,0.29519085,0.289175218,20.2,0.979621211
6,-0.00050943,0.000177688,1.24772455,0.303300743,0.284103248,20.15,0.936704755
7,-0.001046757,-0.000869069,0.96817424,0.316276572,0.287273229,20.15,0.908297531
8,-0.00050943,-0.001378499,0.41207416,0.329252401,0.291711203,20.2,0.88598049
9,-0.00050943,-0.001887929,0.41057389,0.332496358,0.266351354,20.2,0.801065478
10,-0.001046757,-0.002934686,0.40057209,0.340606251,0.278397282,20.1,0.817358112
11,-0.00050943,-0.003444116,0.40307254,0.35358208,0.287273229,20.2,0.812465467
12,0.00029656,-0.003147556,0.40357263,0.360069994,0.287907226,20.15,0.799586832
13,0.00029656,-0.002850995,0.4050729,0.369801866,0.291711203,20.2,0.788831075
14,0.00029656,-0.002554435,0.40407272,0.369801866,0.291077207,20.25,0.787116654
15,-0.000778094,-0.003332528,0.40307254,0.368179887,0.28220126,20.25,0.766476577
16,-0.000778094,-0.004110622,0.40157227,0.373045823,0.280299271,20.15,0.75138027
17,0.00029656,-0.003814061,0.40707326,0.371423844,0.284737245,20.35,0.766610031
18,-0.000240767,-0.004054828,0.40657317,0.36493593,0.273325312,20.2,0.748967942
19,-0.001046757,-0.005101585,0.40457281,0.361691973,0.265083361,20.15,0.732898105
20,0.00029656,-0.004805024,0.40757335,0.366557908,0.271423324,20.25,0.74046506
21,0.000833887,-0.003971137,0.40807344,0.371423844,0.273325312,20.3,0.735885207
22,-0.00050943,-0.004480567,0.40557299,0.366557908,0.269521335,20.15,0.735276279
23,-0.00050943,-0.004989997,0.4050729,0.369801866,0.26698535,20.2,0.72196864
24,-0.00050943,-0.005499427,0.40457281,0.371423844,0.268253342,20.15,0.722229729
25,0.000027897,-0.00547153,0.40657317,0.379533737,0.275227301,20.2,0.725172163
26,0.000833887,-0.004637642,0.40707326,0.36493593,0.282835256,20.2,0.775027156
27,0.000565224,-0.004072418,0.40707326,0.368179887,0.213729666,20.2,0.580503373
28,-0.00050943,-0.004581848,0.4050729,0.36493593,0.203585727,20.3,0.557867039
29,0.000027897,-0.004553951,0.40657317,0.37628978,0.199147753,20.2,0.529240398
30,-0.000240767,-0.004794718,0.40607308,0.37628978,0.208657696,20.15,0.554513323
31,-0.001046757,-0.005841475,0.40557299,0.373045823,0.201049742,20.15,0.538941142
32,0.013192408,0.007350933,0.40857353,0.377911759,0.562427595,20.2,1.488251113
33,0.023670284,0.031021218,0.41407452,0.386021651,0.539603731,20.25,1.397858718
34,0.021520976,0.052542194,0.41357443,0.361691973,0.571303542,20.15,1.579530611
35,0.012386418,0.064928612,0.41557479,0.373045823,0.590957426,20.2,1.584141651
36,0.01641637,0.081344982,0.41707506,0.360069994,0.576375512,20.3,1.600731863
37,0.004595176,0.085940158,0.41607488,0.36493593,0.576375512,20.15,1.57938823
38,0.005132503,0.091072661,0.41757515,0.379533737,0.596029396,20.2,1.570425333
39,0.002177205,0.093249866,0.41707506,0.36493593,0.57510752,20.15,1.575913669
40,0.002177205,0.095427071,0.41707506,0.361691973,0.572571535,20.15,1.583036336
41,0.002983195,0.098410267,0.41907542,0.348716144,0.546577689,20.15,1.567400016
42,0.001639878,0.100050145,0.41707506,0.345472187,0.543407708,20.25,1.572941988
43,0.002714532,0.102764677,0.41957551,0.345472187,0.558623618,20.25,1.616985793
44,0.001371214,0.104135891,0.41807524,0.347094165,0.563695588,20.15,1.624042246
45,0.002983195,0.107119086,0.42157587,0.360069994,0.573205531,20.3,1.591928072
46,0.002714532,0.109833618,0.4200756,0.351960101,0.560525606,20.2,1.592582809
47,0.002445868,0.112279487,0.41907542,0.360069994,0.567499565,20.2,1.576081247
48,0.001371214,0.113650701,0.41807524,0.340606251,0.546577689,20.15,1.604720078
49,0.002714532,0.116365233,0.41807524,0.343850208,0.558623618,20.25,1.62461329
50,0.002445868,0.118811101,0.41857533,0.338984272,0.555453637,20.2,1.638582324
51,0.002714532,0.121525633,0.41957551,0.337362294,0.543407708,20.2,1.610754131
52,0.001371214,0.122896848,0.41957551,0.361691973,0.587153448,20.15,1.623352169
53,0.002983195,0.125880043,0.42207596,0.36493593,0.578277501,20.25,1.584600073
54,0.002983195,0.128863239,0.42107578,0.348716144,0.554185644,20.25,1.589217058
55,0.001102551,0.12996579,0.41957551,0.338984272,0.550381667,20.15,1.623620067
56,0.002714532,0.132680321,0.42207596,0.343850208,0.551649659,20.25,1.604331323
57,0.001908541,0.134588863,0.42207596,0.347094165,0.572571535,20.2,1.649614405
58,0.001639878,0.136228741,0.42257605,0.342228229,0.561159603,20.15,1.639723303
59,0.002177205,0.138405946,0.42407632,0.337362294,0.555453637,20.15,1.64646034
60,0.001639878,0.140045824,0.42357623,0.348716144,0.578277501,20.2,1.658304358
61,0.002445868,0.142491692,0.42407632,0.340606251,0.562427595,20.15,1.651254473
62,0.001908541,0.144400233,0.42207596,0.340606251,0.560525606,20.15,1.645670345
63,0.003520522,0.147920756,0.42407632,0.342228229,0.560525606,20.3,1.637870749
64,0.002714532,0.150635288,0.42207596,0.334118336,0.548479678,20.15,1.641573114
65,0.002177205,0.152812493,0.42057569,0.330874379,0.554185644,20.2,1.674912531
