Aver_delta,L
2.4,1
2.326530612,1
2.253061224,1
2.179591837,1
2.106122449,1
2.032653061,1
1.959183673,1
1.885714286,1
1.812244898,1
1.73877551,1
1.665306122,1
1.591836735,1
1.518367347,1
1.444897959,1
1.371428571,1
1.297959184,1
1.224489796,1
1.151020408,1
1.07755102,1
1.004081633,1
0.930612245,1
0.857142857,1
0.783673469,1
0.710204082,1
0.636734694,1
0.563265306,1
0.489795918,1
0.416326531,1
0.342857143,1
0.269387755,1
0.195918367,1
0.12244898,1
0.048979592,1
-0.024489796,1
-0.097959184,1
-0.171428571,1
-0.244897959,1
-0.318367347,1
-0.391836735,1
-0.465306122,1
-0.53877551,1
-0.612244898,1
-0.685714286,1
-0.759183673,1
-0.832653061,1
-0.906122449,1
-0.979591837,1
-1.053061224,1
-1.126530612,1
-1.2,1
2.4,1.081632653
2.326530612,1.081632653
2.253061224,1.081632653
2.179591837,1.081632653
2.106122449,1.081632653
2.032653061,1.081632653
1.959183673,1.081632653
1.885714286,1.081632653
1.812244898,1.081632653
1.73877551,1.081632653
1.665306122,1.081632653
1.591836735,1.081632653
1.518367347,1.081632653
1.444897959,1.081632653
1.371428571,1.081632653
1.297959184,1.081632653
1.224489796,1.081632653
1.151020408,1.081632653
1.07755102,1.081632653
1.004081633,1.081632653
0.930612245,1.081632653
0.857142857,1.081632653
0.783673469,1.081632653
0.710204082,1.081632653
0.636734694,1.081632653
0.563265306,1.081632653
0.489795918,1.081632653
0.416326531,1.081632653
0.342857143,1.081632653
0.269387755,1.081632653
0.195918367,1.081632653
0.12244898,1.081632653
0.048979592,1.081632653
-0.024489796,1.081632653
-0.097959184,1.081632653
-0.171428571,1.081632653
-0.244897959,1.081632653
-0.318367347,1.081632653
-0.391836735,1.081632653
-0.465306122,1.081632653
-0.53877551,1.081632653
-0.612244898,1.081632653
-0.685714286,1.081632653
-0.759183673,1.081632653
-0.832653061,1.081632653
-0.906122449,1.081632653
-0.979591837,1.081632653
-1.053061224,1.081632653
-1.126530612,1.081632653
-1.2,1.081632653
2.4,1.163265306
2.326530612,1.163265306
2.253061224,1.163265306
2.179591837,1.163265306
2.106122449,1.163265306
2.032653061,1.163265306
1.959183673,1.163265306
1.885714286,1.163265306
1.812244898,1.163265306
1.73877551,1.163265306
1.665306122,1.163265306
1.591836735,1.163265306
1.518367347,1.163265306
1.444897959,1.163265306
1.371428571,1.163265306
1.297959184,1.163265306
1.224489796,1.163265306
1.151020408,1.163265306
1.07755102,1.163265306
1.004081633,1.163265306
0.930612245,1.163265306
0.857142857,1.163265306
0.783673469,1.163265306
0.710204082,1.163265306
0.636734694,1.163265306
0.563265306,1.163265306
0.489795918,1.163265306
0.416326531,1.163265306
0.342857143,1.163265306
0.269387755,1.163265306
0.195918367,1.163265306
0.12244898,1.163265306
0.048979592,1.163265306
-0.024489796,1.163265306
-0.097959184,1.163265306
-0.171428571,1.163265306
-0.244897959,1.163265306
-0.318367347,1.163265306
-0.391836735,1.163265306
-0.465306122,1.163265306
-0.53877551,1.163265306
-0.612244898,1.163265306
-0.685714286,1.163265306
-0.759183673,1.163265306
-0.832653061,1.163265306
-0.906122449,1.163265306
-0.979591837,1.163265306
-1.053061224,1.163265306
-1.126530612,1.163265306
-1.2,1.163265306
2.4,1.244897959
2.326530612,1.244897959
2.253061224,1.244897959
2.179591837,1.244897959
2.106122449,1.244897959
2.032653061,1.244897959
1.959183673,1.244897959
1.885714286,1.244897959
1.812244898,1.244897959
1.73877551,1.244897959
1.665306122,1.244897959
1.591836735,1.244897959
1.518367347,1.244897959
1.444897959,1.244897959
1.371428571,1.244897959
1.297959184,1.244897959
1.224489796,1.244897959
1.151020408,1.244897959
1.07755102,1.244897959
1.004081633,1.244897959
0.930612245,1.244897959
0.857142857,1.244897959
0.783673469,1.244897959
0.710204082,1.244897959
0.636734694,1.244897959
0.563265306,1.244897959
0.489795918,1.244897959
0.416326531,1.244897959
0.342857143,1.244897959
0.269387755,1.244897959
0.195918367,1.244897959
0.12244898,1.244897959
0.048979592,1.244897959
-0.024489796,1.244897959
-0.097959184,1.244897959
-0.171428571,1.244897959
-0.244897959,1.244897959
-0.318367347,1.244897959
-0.391836735,1.244897959
-0.465306122,1.244897959
-0.53877551,1.244897959
-0.612244898,1.244897959
-0.685714286,1.244897959
-0.759183673,1.244897959
-0.832653061,1.244897959
-0.906122449,1.244897959
-0.979591837,1.244897959
-1.053061224,1.244897959
-1.126530612,1.244897959
-1.2,1.244897959
2.4,1.326530612
2.326530612,1.326530612
2.253061224,1.326530612
2.179591837,1.326530612
2.106122449,1.326530612
2.032653061,1.326530612
1.959183673,1.326530612
1.885714286,1.326530612
1.812244898,1.326530612
1.73877551,1.326530612
1.665306122,1.326530612
1.591836735,1.326530612
1.518367347,1.326530612
1.444897959,1.326530612
1.371428571,1.326530612
1.297959184,1.326530612
1.224489796,1.326530612
1.151020408,1.326530612
1.07755102,1.326530612
1.004081633,1.326530612
0.930612245,1.326530612
0.857142857,1.326530612
0.783673469,1.326530612
0.710204082,1.326530612
0.636734694,1.326530612
0.563265306,1.326530612
0.489795918,1.326530612
0.416326531,1.326530612
0.342857143,1.326530612
0.269387755,1.326530612
0.195918367,1.326530612
0.12244898,1.326530612
0.048979592,1.326530612
-0.024489796,1.326530612
-0.097959184,1.326530612
-0.171428571,1.326530612
-0.244897959,1.326530612
-0.318367347,1.326530612
-0.391836735,1.326530612
-0.465306122,1.326530612
-0.53877551,1.326530612
-0.612244898,1.326530612
-0.685714286,1.326530612
-0.759183673,1.326530612
-0.832653061,1.326530612
-0.906122449,1.326530612
-0.979591837,1.326530612
-1.053061224,1.326530612
-1.126530612,1.326530612
-1.2,1.326530612
2.4,1.408163265
2.326530612,1.408163265
2.253061224,1.408163265
2.179591837,1.408163265
2.106122449,1.408163265
2.032653061,1.408163265
1.959183673,1.408163265
1.885714286,1.408163265
1.812244898,1.408163265
1.73877551,1.408163265
1.665306122,1.408163265
1.591836735,1.408163265
1.518367347,1.408163265
1.444897959,1.408163265
1.371428571,1.408163265
1.297959184,1.408163265
1.224489796,1.408163265
1.151020408,1.408163265
1.07755102,1.408163265
1.004081633,1.408163265
0.930612245,1.408163265
0.857142857,1.408163265
0.783673469,1.408163265
0.710204082,1.408163265
0.636734694,1.408163265
0.563265306,1.408163265
0.489795918,1.408163265
0.416326531,1.408163265
0.342857143,1.408163265
0.269387755,1.408163265
0.195918367,1.408163265
0.12244898,1.408163265
0.048979592,1.408163265
-0.024489796,1.408163265
-0.097959184,1.408163265
-0.171428571,1.408163265
-0.244897959,1.408163265
-0.318367347,1.408163265
-0.391836735,1.408163265
-0.465306122,1.408163265
-0.53877551,1.408163265
-0.612244898,1.408163265
-0.685714286,1.408163265
-0.759183673,1.408163265
-0.832653061,1.408163265
-0.906122449,1.408163265
-0.979591837,1.408163265
-1.053061224,1.408163265
-1.126530612,1.408163265
-1.2,1.408163265
2.4,1.489795918
2.326530612,1.489795918
2.253061224,1.489795918
2.179591837,1.489795918
2.106122449,1.489795918
2.032653061,1.489795918
1.959183673,1.489795918
1.885714286,1.489795918
1.812244898,1.489795918
1.73877551,1.489795918
1.665306122,1.489795918
1.591836735,1.489795918
1.518367347,1.489795918
1.444897959,1.489795918
1.371428571,1.489795918
1.297959184,1.489795918
1.224489796,1.489795918
1.151020408,1.489795918
1.07755102,1.489795918
1.004081633,1.489795918
0.930612245,1.489795918
0.857142857,1.489795918
0.783673469,1.489795918
0.710204082,1.489795918
0.636734694,1.489795918
0.563265306,1.489795918
0.489795918,1.489795918
0.416326531,1.489795918
0.342857143,1.489795918
0.269387755,1.489795918
0.195918367,1.489795918
0.12244898,1.489795918
0.048979592,1.489795918
-0.024489796,1.489795918
-0.097959184,1.489795918
-0.171428571,1.489795918
-0.244897959,1.489795918
-0.318367347,1.489795918
-0.391836735,1.489795918
-0.465306122,1.489795918
-0.53877551,1.489795918
-0.612244898,1.489795918
-0.685714286,1.489795918
-0.759183673,1.489795918
-0.832653061,1.489795918
-0.906122449,1.489795918
-0.979591837,1.489795918
-1.053061224,1.489795918
-1.126530612,1.489795918
-1.2,1.489795918
2.4,1.571428571
2.326530612,1.571428571
2.253061224,1.571428571
2.179591837,1.571428571
2.106122449,1.571428571
2.032653061,1.571428571
1.959183673,1.571428571
1.885714286,1.571428571
1.812244898,1.571428571
1.73877551,1.571428571
1.665306122,1.571428571
1.591836735,1.571428571
1.518367347,1.571428571
1.444897959,1.571428571
1.371428571,1.571428571
1.297959184,1.571428571
1.224489796,1.571428571
1.151020408,1.571428571
1.07755102,1.571428571
1.004081633,1.571428571
0.930612245,1.571428571
0.857142857,1.571428571
0.783673469,1.571428571
0.710204082,1.571428571
0.636734694,1.571428571
0.563265306,1.571428571
0.489795918,1.571428571
0.416326531,1.571428571
0.342857143,1.571428571
0.269387755,1.571428571
0.195918367,1.571428571
0.12244898,1.571428571
0.048979592,1.571428571
-0.024489796,1.571428571
-0.097959184,1.571428571
-0.171428571,1.571428571
-0.244897959,1.571428571
-0.318367347,1.571428571
-0.391836735,1.571428571
-0.465306122,1.571428571
-0.53877551,1.571428571
-0.612244898,1.571428571
-0.685714286,1.571428571
-0.759183673,1.571428571
-0.832653061,1.571428571
-0.906122449,1.571428571
-0.979591837,1.571428571
-1.053061224,1.571428571
-1.126530612,1.571428571
-1.2,1.571428571
