Aver_delta,R
2.4,10
2.326530612,10
2.253061224,10
2.179591837,10
2.106122449,10
2.032653061,10
1.959183673,10
1.885714286,10
1.812244898,10
1.73877551,10
1.665306122,10
1.591836735,10
1.518367347,10
1.444897959,10
1.371428571,10
1.297959184,10
1.224489796,10
1.151020408,10
1.07755102,10
1.004081633,10
0.930612245,10
0.857142857,10
0.783673469,10
0.710204082,10
0.636734694,10
0.563265306,10
0.489795918,10
0.416326531,10
0.342857143,10
0.269387755,10
0.195918367,10
0.12244898,10
0.048979592,10
-0.024489796,10
-0.097959184,10
-0.171428571,10
-0.244897959,10
-0.318367347,10
-0.391836735,10
-0.465306122,10
-0.53877551,10
-0.612244898,10
-0.685714286,10
-0.759183673,10
-0.832653061,10
-0.906122449,10
-0.979591837,10
-1.053061224,10
-1.126530612,10
-1.2,10
2.4,52.65306122
2.326530612,52.65306122
2.253061224,52.65306122
2.179591837,52.65306122
2.106122449,52.65306122
2.032653061,52.65306122
1.959183673,52.65306122
1.885714286,52.65306122
1.812244898,52.65306122
1.73877551,52.65306122
1.665306122,52.65306122
1.591836735,52.65306122
1.518367347,52.65306122
1.444897959,52.65306122
1.371428571,52.65306122
1.297959184,52.65306122
1.224489796,52.65306122
1.151020408,52.65306122
1.07755102,52.65306122
1.004081633,52.65306122
0.930612245,52.65306122
0.857142857,52.65306122
0.783673469,52.65306122
0.710204082,52.65306122
0.636734694,52.65306122
0.563265306,52.65306122
0.489795918,52.65306122
0.416326531,52.65306122
0.342857143,52.65306122
0.269387755,52.65306122
0.195918367,52.65306122
0.12244898,52.65306122
0.048979592,52.65306122
-0.024489796,52.65306122
-0.097959184,52.65306122
-0.171428571,52.65306122
-0.244897959,52.65306122
-0.318367347,52.65306122
-0.391836735,52.65306122
-0.465306122,52.65306122
-0.53877551,52.65306122
-0.612244898,52.65306122
-0.685714286,52.65306122
-0.759183673,52.65306122
-0.832653061,52.65306122
-0.906122449,52.65306122
-0.979591837,52.65306122
-1.053061224,52.65306122
-1.126530612,52.65306122
-1.2,52.65306122
2.4,95.30612245
2.326530612,95.30612245
2.253061224,95.30612245
2.179591837,95.30612245
2.106122449,95.30612245
2.032653061,95.30612245
1.959183673,95.30612245
1.885714286,95.30612245
1.812244898,95.30612245
1.73877551,95.30612245
1.665306122,95.30612245
1.591836735,95.30612245
1.518367347,95.30612245
1.444897959,95.30612245
1.371428571,95.30612245
1.297959184,95.30612245
1.224489796,95.30612245
1.151020408,95.30612245
1.07755102,95.30612245
1.004081633,95.30612245
0.930612245,95.30612245
0.857142857,95.30612245
0.783673469,95.30612245
0.710204082,95.30612245
0.636734694,95.30612245
0.563265306,95.30612245
0.489795918,95.30612245
0.416326531,95.30612245
0.342857143,95.30612245
0.269387755,95.30612245
0.195918367,95.30612245
0.12244898,95.30612245
0.048979592,95.30612245
-0.024489796,95.30612245
-0.097959184,95.30612245
-0.171428571,95.30612245
-0.244897959,95.30612245
-0.318367347,95.30612245
-0.391836735,95.30612245
-0.465306122,95.30612245
-0.53877551,95.30612245
-0.612244898,95.30612245
-0.685714286,95.30612245
-0.759183673,95.30612245
-0.832653061,95.30612245
-0.906122449,95.30612245
-0.979591837,95.30612245
-1.053061224,95.30612245
-1.126530612,95.30612245
-1.2,95.30612245
2.4,137.9591837
2.326530612,137.9591837
2.253061224,137.9591837
2.179591837,137.9591837
2.106122449,137.9591837
2.032653061,137.9591837
1.959183673,137.9591837
1.885714286,137.9591837
1.812244898,137.9591837
1.73877551,137.9591837
1.665306122,137.9591837
1.591836735,137.9591837
1.518367347,137.9591837
1.444897959,137.9591837
1.371428571,137.9591837
1.297959184,137.9591837
1.224489796,137.9591837
1.151020408,137.9591837
1.07755102,137.9591837
1.004081633,137.9591837
0.930612245,137.9591837
0.857142857,137.9591837
0.783673469,137.9591837
0.710204082,137.9591837
0.636734694,137.9591837
0.563265306,137.9591837
0.489795918,137.9591837
0.416326531,137.9591837
0.342857143,137.9591837
0.269387755,137.9591837
0.195918367,137.9591837
0.12244898,137.9591837
0.048979592,137.9591837
-0.024489796,137.9591837
-0.097959184,137.9591837
-0.171428571,137.9591837
-0.244897959,137.9591837
-0.318367347,137.9591837
-0.391836735,137.9591837
-0.465306122,137.9591837
-0.53877551,137.9591837
-0.612244898,137.9591837
-0.685714286,137.9591837
-0.759183673,137.9591837
-0.832653061,137.9591837
-0.906122449,137.9591837
-0.979591837,137.9591837
-1.053061224,137.9591837
-1.126530612,137.9591837
-1.2,137.9591837
2.4,180.6122449
2.326530612,180.6122449
2.253061224,180.6122449
2.179591837,180.6122449
2.106122449,180.6122449
2.032653061,180.6122449
1.959183673,180.6122449
1.885714286,180.6122449
1.812244898,180.6122449
