R,L
10,1
52.65306122,1
95.30612244,1
137.9591837,1
180.6122449,1
223.2653061,1
265.9183673,1
308.5714285,1
351.2244898,1
393.877551,1
436.5306122,1
479.1836734,1
521.8367346,1
564.4897959,1
607.1428571,1
649.7959183,1
692.4489795,1
735.1020407,1
777.755102,1
820.4081632,1
863.0612244,1
905.7142856,1
948.3673468,1
991.0204081,1
1033.673469,1
1076.326531,1
1118.979592,1
1161.632653,1
1204.285714,1
1246.938775,1
1289.591837,1
1332.244898,1
1374.897959,1
1417.55102,1
1460.204081,1
1502.857143,1
1545.510204,1
1588.163265,1
1630.816326,1
1673.469388,1
1716.122449,1
1758.77551,1
1801.428571,1
1844.081632,1
1886.734694,1
1929.387755,1
1972.040816,1
2014.693877,1
2057.346939,1
2100,1
10,1.081632653
52.65306122,1.081632653
95.30612244,1.081632653
137.9591837,1.081632653
180.6122449,1.081632653
223.2653061,1.081632653
265.9183673,1.081632653
308.5714285,1.081632653
351.2244898,1.081632653
393.877551,1.081632653
436.5306122,1.081632653
479.1836734,1.081632653
521.8367346,1.081632653
564.4897959,1.081632653
607.1428571,1.081632653
649.7959183,1.081632653
692.4489795,1.081632653
735.1020407,1.081632653
777.755102,1.081632653
820.4081632,1.081632653
863.0612244,1.081632653
905.7142856,1.081632653
948.3673468,1.081632653
991.0204081,1.081632653
1033.673469,1.081632653
1076.326531,1.081632653
1118.979592,1.081632653
1161.632653,1.081632653
1204.285714,1.081632653
1246.938775,1.081632653
1289.591837,1.081632653
1332.244898,1.081632653
1374.897959,1.081632653
1417.55102,1.081632653
1460.204081,1.081632653
1502.857143,1.081632653
1545.510204,1.081632653
1588.163265,1.081632653
1630.816326,1.081632653
1673.469388,1.081632653
1716.122449,1.081632653
1758.77551,1.081632653
1801.428571,1.081632653
1844.081632,1.081632653
1886.734694,1.081632653
1929.387755,1.081632653
1972.040816,1.081632653
2014.693877,1.081632653
2057.346939,1.081632653
2100,1.081632653
10,1.163265306
52.65306122,1.163265306
95.30612244,1.163265306
137.9591837,1.163265306
180.6122449,1.163265306
223.2653061,1.163265306
265.9183673,1.163265306
308.5714285,1.163265306
351.2244898,1.163265306
393.877551,1.163265306
436.5306122,1.163265306
479.1836734,1.163265306
521.8367346,1.163265306
564.4897959,1.163265306
607.1428571,1.163265306
649.7959183,1.163265306
692.4489795,1.163265306
735.1020407,1.163265306
777.755102,1.163265306
820.4081632,1.163265306
863.0612244,1.163265306
905.7142856,1.163265306
948.3673468,1.163265306
991.0204081,1.163265306
1033.673469,1.163265306
1076.326531,1.163265306
1118.979592,1.163265306
1161.632653,1.163265306
1204.285714,1.163265306
1246.938775,1.163265306
1289.591837,1.163265306
1332.244898,1.163265306
1374.897959,1.163265306
1417.55102,1.163265306
1460.204081,1.163265306
1502.857143,1.163265306
1545.510204,1.163265306
1588.163265,1.163265306
1630.816326,1.163265306
1673.469388,1.163265306
1716.122449,1.163265306
1758.77551,1.163265306
1801.428571,1.163265306
1844.081632,1.163265306
1886.734694,1.163265306
1929.387755,1.163265306
1972.040816,1.163265306
2014.693877,1.163265306
2057.346939,1.163265306
2100,1.163265306
10,1.244897959
52.65306122,1.244897959
95.30612244,1.244897959
137.9591837,1.244897959
180.6122449,1.244897959
223.2653061,1.244897959
265.9183673,1.244897959
308.5714285,1.244897959
351.2244898,1.244897959
393.877551,1.244897959
436.5306122,1.244897959
479.1836734,1.244897959
521.8367346,1.244897959
564.4897959,1.244897959
607.1428571,1.244897959
649.7959183,1.244897959
692.4489795,1.244897959
735.1020407,1.244897959
777.755102,1.244897959
820.4081632,1.244897959
863.0612244,1.244897959
905.7142856,1.244897959
948.3673468,1.244897959
991.0204081,1.244897959
1033.673469,1.244897959
1076.326531,1.244897959
1118.979592,1.244897959
1161.632653,1.244897959
1204.285714,1.244897959
1246.938775,1.244897959
1289.591837,1.244897959
1332.244898,1.244897959
1374.897959,1.244897959
1417.55102,1.244897959
1460.204081,1.244897959
1502.857143,1.244897959
1545.510204,1.244897959
1588.163265,1.244897959
1630.816326,1.244897959
1673.469388,1.244897959
1716.122449,1.244897959
