R,L,clust_label
2200,2.334865,1
26.3,2.247809,0
1150,2.50285,1
15,1.06279,0
31,2.092551,0
250,2.423568,1
150,1.642462,0
117,2.155072,1
87,2.191147,0
63,1.753153,0
1300,1.683169,1
540,4.536515,0
640,2.840689,1
130,2.71587,1
160,3.256552,1
1230,1.748366,1
57,1.993364,0
76,2.035101,0
190,2.637276,0
38,1.50459,0
62,2.440666,0
85,2.129246,1
108,3.961804,1
14,2.447011,0
1850,1.746072,1
70,2.032089,0
75,1.355844,0
35,1.208688,0
52,2.415426,0
15,1.3808133,0
13,1.860671,0
17,2.684842,0
1900,1.608041,1
600,2.338073,0
25,2.036683,1
700,3.414759,1
430,2.684842,0
100,3.14486,0
35,4.710248,0
15,2.017394,0
28,3.373628,0
138,3.099138,1
26,1.422501,0
750,1.541454,1
30,2.274597,0
700,2.43057,1
30,2.355942,0
16,2.671211,0
17,1.502442,0
60,2.431158,0
1010,2.445817,1
130,3.225497,1
300,4.81924,1
22,2.120525,1
2050,1.694656,1
1100,1.785252,1
50,3.379484,0
50,1.579249,0
32,1.47828,0
18,1.16636,0
1380,1.535755,1
2040,2.883459,1
38,1.38999,0
33,1.818722,0
155,2.308164,0
21,2.084635,0
62,4.71562,0
20,1.672487,0
21,1.834583,0
450,2.827363,0
710,2.605391,1
750,2.000565,0
62,1.967154,1
40,1.958395,0
30,3.166182,0
39,2.584854,0
55,2.244566,0
1800,3.297024,1
20,1.492383,0
26,1.668652,1
56,1.338422,0
17,1.362086,0
26,1.769546,0
780,2.839154,1
